Assigned_cluster,TI,DI,UT,AB
caucasian,HISTORICAL AND AREAL ASPECTS OF NATURAL RESOURCE TERMINOLOGY IN EAST CAUCASIAN LANGUAGES,10.1163/1573384X-20130305,WOS000323085400004,"THE PRESENT PAPER DISCUSSES THE HISTORICAL BACKGROUND OF SELECTED TERMS IN THE WORLD OF EAST CAUCASIAN LANGUAGES THAT ARE RELATED TO THE DOMAIN OF METALLURGY (COPPER, IRON, TIN, PLUMB, GOLD, AND SILVER) AUGMENTED BY TERMS FOR `COAL' AND `SALT'. A CLOSER INSPECTION OF THESE TERMS SHOWS THAT NONE OF THEM CAN BE RECONSTRUCTED FOR PROTO-EAST CAUCASIAN. RATHER, WE HAVE TO DEAL EITHER WITH TERMS THAT HAVE BEEN COINED IN THE INTERMEDIATE PROTOLANGUAGES (NAKH, AVAR-ANDIAN, TSEZIAN, LEZGIAN, LAK, DARGWA, AND KHINALUG) OR WITH MORE OR LESS RECENT LOANS STEMMING MAINLY FROM THE IRANIAN AND TURKIC LANGUAGES. THE ABSENCE OF RECONSTRUCTABLE TERMS FOR THE ITEMS UNDER REVIEW SUGGESTS THAT THE SPEAKERS OF THE EAST CAUCASIAN PROTO-LANGUAGE HAD NOT BEEN INVOLVED EXPRESSIVELY IN METALLURGIC TRADITIONS (AS OPPOSED TO FARMING TRADITIONS). TENTATIVELY, THESE SPEAKERS CAN THUS BE ASSOCIATED WITH THE EARLY FARMING CULTURE WITHIN THE COMPLEX OF THE KURO-ARAXES CULTURE. ONLY AFTER THE PROTO-LANGUAGE DISINTEGRATED DUE TO THE MIGRATION OF MOST OF ITS SPEAKERS IN THE DAGESTAN AND THE REGIONS OF CHECHNYA, SOME SOCIETIES RELATED TO THESE INTERMEDIATE PROTO-LANGUAGES MUST HAVE BEEN INVOLVED MORE EXPRESSIVELY IN METALLURGIC TRADITIONS. THE MORE RECENT LOANS, E.G. FOR COPPER, GOLD, AND SILVER, STEMMING FROM IRANIAN (PERSIAN) AND TURKIC (KUMYK AND AZERI) ILLUSTRATE A SHIFT IN CONCEPTUALISING THESE OBJECTS: THEY WERE NOW INTERPRETED AS ARTIFACTS (RATHER THAN AS NATURAL RESOURCES) THAT WERE ASSOCIATED WITH THE CULTURES OF THE DOMINANT `ORIENTAL' SOCIETIES. THE PAPER CAN BE SEEN AS A PRELIMINARY STUDY CONCERNING THE AREAL DISTRIBUTION OF LEXICAL PATTERNS IN THE EASTERN CAUCASUS FROM A HISTORICAL PERSPECTIVE."
caucasian,SOME PECULIARITIES OF SPATIAL-DISTRIBUTION AND POPULATION-DENSITY OF EAST CAUCASIAN TUR (CAPRA-CYLINDRICORNIS),NA,WOSA1994PR64900011,"THE ECOLOGY OF THE SPECIES WAS STUDIED IN DAGHESTAN THROUGHOUT ALL THE SEASONS FROM 1986 TO 1993. TWO MAIN FACTORS DETERMINE THE NUMBER AND DISTRIBUTION OF TURS: 1) INACCESSIBILITY OF HABITATS (ROCKY AND STEEP MOUNTAIN SLOPES), THE AREA OF MAIN RANGES: 2) FEEDING CONDITIONS AND FIRST OF ALL THE AREA AND PRODUCTIVITY OF WINTER PASTURES. THE HIGHEST POPULATION DENSITY OF TURS WAS OBSERVED ON THE SPURS OF LARGE MOUNTAIN-MASSES, WHICH ARE MORE THAN 7-10 KM LONG AND MORE THAN 4000 M HIGH. THE POPULATION DENSITY OF TURS VARIES IN DIFFERENT REGIONS FROM 1,8 TO 7,3 ANIMALS PER 100 HA., THEIR TOTAL NUMBER IS ABOUT 20 000 ANIMALS WHICH IS MORE THAN 2-2,5 TIMES AS HIGH AS NOTED IN FORMER PAPERS CONCERNING THIS SPECIES. THE STUDY REVEALED, THAT IN THE AREAS, WHICH ARE NOT INTENSIVELY USED FOR AGRICULTURE, THE AVERAGE WINTER DENSITY OF THE POPULATIONS IN DIFFERENT LOCALITIES OF THE AREA IS STABLE (31 TO 35 ANIMALS PER 100 HA.). PROBABLY, IT IS DETERMINED BY CARRYING CAPACITY OF WINTER PASTURES AND REFLECTS THE MAXIMUM NUMBER OF A POPULATION. IN AREAS, WHERE THE DEGREE OF EXPLOITATION OF WINTER PASTURES BY CATTLE EXCEED 80\%, THE POPULATION DENSITY OF TURS REDUCES AND DOES NOT EXCEED 11.5 TO 15.3 ANIMALS PER 100 HA. THAT CAN BE ATTRIBUTED TO THE CONSUMPTION OF SOME PART OF VEGETATION BY SHEEP."
dagestan,<I>WAQF</I> ENDOWMENTS IN DAGHESTANI VILLAGE COMMUNITIES: FROM THE 1917 REVOLUTION TO THE COLLECTIVIZATION,10.1163/157006010X544250,WOS000285647700006,"GIVEN THE LACK OF RELIABLE FIRST-HAND SOURCES, NOBODY HAS YET TRACED THE MODERN HISTORY OF ISLAMIC CHARITABLE ENDOWMENTS IN THE NORTH CAUCASUS UNDER EARLY SOVIET RULE.. IS ARTICLE IS ONE OF THE FIRST ATTEMPTS TO CONDUCT SUCH RESEARCH IN DAGHESTAN. IN THIS REPUBLIC WAQF FOUNDATIONS WERE LEGALLY ACKNOWLEDGED UNTIL 23 JANUARY 1927, WHEN A DECREE TURNED THEM INTO NATIONAL STATE PROPERTY THAT WOULD BE DIVIDED AMONG THEIR PREVIOUS HOLDERS IN COOPERATIVES AND KOLKHOZES. IS IT POSSIBLE TO RECOVER THE EARLY SOVIET HISTORY OF WAQF IN THE PERIOD 1920-1927, WHEN IT FUNCTIONED UNDER THE PROTECTION OF STATE LAW, WHILE REMAINING ALMOST COMPLETELY EXEMPT FROM STATE CONTROL AND REGISTRATION? WHAT CAN BE SAID ON COMPETING VISIONS OF WAQF AND ITS PLACE IN THE SOVIET DISCOURSE OF MOUNTAINEERS' SURVIVAL AND MODERNITY? WHAT ROLE DID IT PLAY IN THE COUNTRYSIDE ON THE EVE OF COLLECTIVIZATION? TO ANSWER THESE QUESTIONS THE AUTHOR FOCUSES ON VILLAGE COMMUNITIES WHICH, AS HE ARGUES, CONSTITUTED CRUCIAL LEVEL OF POST-REVOLUTIONARY ISLAMIC ENDOWMENTS.. IS RESEARCH INTRODUCES A UNIQUE WAQF REGISTER OF THE 1920S FROM THE VILLAGE OF DIBGASHI. IT RELIES ON A BROAD RANGE OF MUSLIM AND SOVIET SOURCES IN THE ARABIC, CAUCASIAN AND RUSSIAN LANGUAGES, INCLUDING ORAL HISTORIES GATHERED BY THE AUTHOR AMONG CONTEMPORARY VILLAGERS IN MOUNTAIN DAGHESTAN."
dagestan,THE RELATIONSHIP OF KHUMICS FEUDAL OWNERSHIPS WITH COMMUNITIES OF NORTH DAGESTAN AND OF NORTH-EASTERN CHECHNYA IN THE XVIIITH C.NTURY,NA,WOS000217222900027,"THE ARTICLE IS ABOUT THE RELATIONSHIPS OF KHUMYK FEUDAL OWNERSHIPS -ZASULAKSKI PRINCEDOMS (ENDIREVSKI, AKSAEVSKI AND KOSTEKSKI) WITH THE DEPENDENT RURAL COMMUNITIES IN NORTH DAGESTAN AND NORTH-EASTERN CHECHNYA IN XVIIITH CENTURY. THESE RELATIONSHIPS HAVE A MANY-SIDED TRAIT. THERE WERE MILITARY CONFLICTS CONNECTED WITH THE CLAIMS OF KHUMYK FEUDAL OWNERS TO THE NEIGHBORING SIDES, WITH THEIR WISH TO APPLY THEIR INFLUENCE TO THE VILLAGE COMMUNITY, AND GOOD RELATIONSHIPS OF THE MAJORITY OF THE POPULATION IN THE AFOREMENTIONED COMMUNITIES THAT WERE REFLECTED IN SPIRITUAL AND MATERIAL CULTURES, AS WELL AS IN GOOD ECONOMIC RELATIONS."
dagestan,USING URBAN-POPULATION POTENTIAL SURFACES FOR ANALYZING URBANIZATION IN RURAL-AREAS (WITH PARTICULAR REFERENCE TO DAGESTAN ASSR),NA,WOSA1985ALF4800003,NA
dagestan,THE RESULTS OF THE CLINICAL AND EPIDEMIOLOGICAL STUDY OF EPILEPSY IN URBAN AND RURAL AREAS OF THE DAGESTAN REPUBLIC,NA,WOS000307923300017,"THE RESULTS OF THE CLINICAL AND EPIDEMIOLOGICAL STUDY OF EPILEPSY IN THE SOVIET REGION OF MAKHACHKALA CITY AND THE KHASAVURT REGION OF THE DAGESTAN REPUBLIC ARE PRESENTED. THE SAMPLE SIZE WAS 139.115 IN THE SOVIET REGION AND 101.278 IN THE KHASAVURT REGION, THE SAMPLES INCLUDED 344 AND 338 PATIENTS WITH EPILEPSY, RESPECTIVELY. THE AGE- AND SEX - STANDARDIZED PREVALENCE OF EPILEPSY WAS 2.06 (CI95\% 1.80-2.32) CASES PER 1000 POPULATION IN THE SOVIET REGION AND 2.98 (CI95\% 2.60-3.35) CASES PER 1000 POPULATION IN THE KHASAVURT REGION (P=0.05). THE PREVALENCE OF EPILEPSY WAS HIGHER IN MEN. FOCAL (LOCATION-RELATED) FORMS OF EPILEPSY WERE MOST FREQUENT, WITH THE HIGHEST FREQUENCY OF PARTIAL SEIZURES WITH SECONDARY GENERALIZATION. CRANIAL-BRAIN INJURY, INTRA- AND PERINATAL PATHOLOGY AND CEREBRAL VASCULAR DISEASES WERE THE MAIN CAUSES OF THE DEVELOPMENT OF FOCAL EPILEPSIES. SEIZURE FREQUENCY GREATER THAN 12 PER YEAR WAS NOTED IN MORE THAN A HALF OF PATIENTS. THE STUDY OF SOCIAL ASPECTS SHOWED THAT ONLY SMALL PORTION OF PATIENTS WORKED, MOST OF PATIENTS RECEIVED DISABILITY PENSIONS. DIFFERENCES IN THE EDUCATION LEVEL WERE IDENTIFIED AS WELL."
dagestan,COMPARATIVE-ANALYSIS OF THE INCIDENCE OF PRECANCER DERMATOSES AND SKIN-CANCER IN RESIDENTS OF DAGHESTAN,NA,WOSA1991GJ87600009,"THE AUTHORS ANALYZE THE INCIDENCE OF PRECANCER DERMATOSES AND SKIN CANCER IN THREE POPULATION GROUPS (TOTAL N = 7500) LIVING IN VARIOUS GEOGRAPHIC ZONES OF DAGHESTAN: URBAN POPULATION AND RURAL POPULATION OF THE PLAINS AND HIGHLANDS, OCCUPATIONALLY EXPOSED TO FACTORS CONDUCIVE TO CANCER DEVELOPMENT. I. E. HYPERTHERMIA, CHEMICAL IRRITANTS, HIGH INSOLATION, OTHER ENVIRONMENTAL FACTORS. A HIGH INCIDENCE OF SKIN PRECANCER AND CANCER (0.3 AND 1.3\%, RESPECTIVELY) WAS DETECTED AMONG THE HIGHLANDERS EXPOSED TO HIGH INSOLATION. BASAL-CELL CARCINOMA IN THESE AREAS IS 3-4 TIMES MORE INCIDENT THAT SQUAMOUS-CELL CARCINOMA. PRECANCER DERMATOSES AND SKIN CANCER INVOLVE OPEN SKIN SITES IN 45-80\% OF CASES. UNTIMELY VISITS TO DOCTORS RESULT IN DEVELOPMENT OF GRAVE FORMS OF SKIN CANCER. EARLY ACTIVE DETECTION OF SKIN PRECANCER AND CANCER IS THE KEY POINT IN TIMELY DIAGNOSIS, TREATMENT, AND PREVENTION OF THIS CONDITION, PARTICULARLY OF ITS GRAVE FORMS."
dagestan,THE DUAL ORIGIN OF TATI-SPEAKERS FROM DAGESTAN AS WRITTEN IN THE GENEALOGY OF UNIPARENTAL VARIANTS,10.1002/ajhb.22220,WOS000304986300001,"OBJECTIVES: TAT LANGUAGE IS CLASSIFIED IN AN IRANIAN SUBBRANCH OF THE INDO-EUROPEAN FAMILY. IT IS SPOKEN IN THE CAUCASUS AND IN THE WEST CASPIAN REGION BY POPULATIONS WITH HETEROGENEOUS CULTURAL TRADITIONS AND RELIGION WHOSE ANCESTRY IS UNKNOWN. THE AIM OF THIS STUDY IS TO GET A FIRST INSIGHT ABOUT THE GENETIC HISTORY OF THIS PECULIAR LINGUISTIC GROUP. METHODS: WE INVESTIGATED THE UNIPARENTAL GENE POOLS, DEFINED BY NRY AND MTDNA HIGH-RESOLUTION MARKERS, IN TWO TATI-SPEAKING COMMUNITIES FROM DAGESTAN: MOUNTAIN JEWS OR JUHUR, WHO SPEAK THE JUDEO-TAT DIALECT, AND THE TATS, WHO SPEAK THE MUSLIM-TAT DIALECT. THE SAMPLES HAVE BEEN COLLECTED IN MONOETHNIC RURAL VILLAGES AND SELECTED ON THE BASIS OF GENEALOGICAL RELATIONSHIPS. A NOVEL APPROACH AIMED AT RESOLVING CRYPTIC CASES IN THE RECENT HISTORY OF HUMAN POPULATIONS, WHICH COMBINES THE PROPERTIES OF UNIPARENTAL GENETIC MARKERS WITH THE POTENTIAL OF FORWARD-IN-TIME COMPUTER SIMULATIONS, IS PRESENTED. RESULTS: JUDEO-TATS EMERGED AS A GROUP WITH TIGHT MATRILINEAL GENETIC LEGACY WHO SEPARATED EARLY FROM OTHER JEWISH COMMUNITIES. TATS EXHIBITED GENETIC SIGNALS OF A MUCH LONGER IN SITU EVOLUTION, WHICH APPEAR AS SUBSTANTIALLY UNLINKED WITH OTHER INDO-IRANIAN ENCLAVES IN THE CAUCASUS. CONCLUSIONS: THE INDEPENDENT DEMOGRAPHIC HISTORIES OF THE TWO SAMPLES, WITH MUTUALLY REVERSED PROFILES AT PATERNALLY AND MATERNALLY TRANSMITTED GENETIC SYSTEMS, SUGGEST THAT GEOGRAPHIC PROXIMITY AND LINGUISTIC ASSIMILATION OF TATI-SPEAKERS FROM DAGESTAN DO NOT REFLECT A COMMON ANCESTRY. (C) 2012 WILEY PERIODICALS, INC."
islam,ISLAM AND ETHNICITY IN THE REPUBLICS OF RUSSIA,10.1080/1060586X.1997.10641433,WOSA1997WY48700004,"AN AMERICAN SOCIOLOGIST REPORTS RESULTS OF SURVEY RESEARCH CONDUCTED IN 1993 AMONG MUSLIMS IN THE FIVE ISLAMIC AUTONOMOUS REPUBLICS OF RUSSIA (N = 4,955). THE DATA DEMONSTRATE THAT THE STRENGTH OF ISLAM AS BOTH A RELIGIOUS AND SOCIAL INSTITUTION VARIED REGIONALLY DESPITE THE SHARED EXPERIENCE OF SOVIET ANTI-RELIGIOUS POLICIES. MUSLIMS IN CHECHNYA AND DAGESTAN WERE MUCH MORE LIKELY TO REPORT THAT THEY ACTIVELY PRACTICED ISLAM THAN MUSLIMS LIVING IN KABARDINO-BALKARIYA, TATARSTAN, AND BASHKORTOSTAN. MOROEVER, RELIGIOUS PRACTICE WAS HIGH AMONG NON-TRADITIONAL GROUPS OF CHECHENTSY AND AVARTSY. THE YOUNG, THE URBAN MIGRANTS, THE HIGHLY EDUCATED, AND MEN REPORTED HIGH LEVELS OF ACTIVE WORSHIP. IN BASHKORTOSTAN, TATARSTAN, AND KABARDINO-BALKARIYA, IN CONTRAST, ACTIVE RELIGIOSITY WAS PRIMARILY CONFINED TO OLD, RURAL WOMEN WITH LOW LEVELS OF EDUCATION. THESE DIFFERENCES, IT IS ARGUED, ARE LINKED TO THE SUFI ISLAM TRADITION PRESENT IN CHECHNYA AND DAGESTAN BUT ABSENT IN THE OTHER MUSLIM AUTONOMOUS REPUBLICS."
islam,THE MODERNITY OF PREMODERN ISLAM IN CONTEMPORARY DAGHESTAN,10.1007/s11562-010-0146-3,WOS000446454500003,"THIS ETHNOGRAPHIC ESSAY INVESTIGATES THE RELATIONS BETWEEN PAST AND PRESENT FORMS OF ISLAM IN THE NORTH CAUCASIAN REPUBLIC OF DAGHESTAN. CONVERSATIONS CULLED FROM FIELDWORK IN DAGHESTANI URBAN AND RURAL SPACES ARE USED TO ELUCIDATE THE CULTURAL, RELIGIOUS, AND LINGUISTIC DIVERSITY OF LIFE IN THIS REGION. ETHNOGRAPHIES IN A BOOKSTORE, A SHRINE TO THE IMAM SHAMIL, AND A SCHOLARLY ARCHIVE IN MAKHACHKALA UNFOLD AGAINST THE HISTORICAL BACKGROUND OF DAGHESTAN'S LONG-STANDING ENCOUNTER WITH THE ARABO-ISLAMIC WORLD. THE ESSAY EXPLORES HOW THE POST-SOVIET TURN TO POST-SECULAR ISLAM REPRESENTS AN ALTERNATIVE TO COLONIALISM AND A NEW WAY OF MAKING MEANING IN THE PRESENT. IT IS INTENDED AS A CONTRIBUTION TO ISLAMIC STUDIES, MODERNITY THEORY, AND POST-SOVIET UNION AREA STUDIES."
